"tre_cn","prev_tre_cn","plt_cn.re","plot_id","tree_status.re","species","dbh_in.re","plt_cn.init","tree_status.init","dbh_in.init"
"44718279020004","23709093010900","48204842010497","6-2-35-53400","live","ABCO",9.7,"23709013010900","live",9.4
"44718284020004","23709156010900","48204842010497","6-2-35-53400","live","ABCO",26.4,"23709013010900","live",25.4
"44718282020004","23709152010900","48204842010497","6-2-35-53400","live","OTHER",31.8,"23709013010900","live",30.5
"44718285020004","23709158010900","48204842010497","6-2-35-53400","live","ABCO",36.3,"23709013010900","live",35.2
"44718287020004","23709162010900","48204842010497","6-2-35-53400","live","ABCO",20.4,"23709013010900","live",19.6
"44718288020004","23709170010900","48204842010497","6-2-35-53400","live","ABCO",41.6,"23709013010900","live",39.9
"44718289020004","23709164010900","48204842010497","6-2-35-53400","live","ABCO",23.4,"23709013010900","live",22.3
"44718290020004","23709166010900","48204842010497","6-2-35-53400","live","ABCO",16.3,"23709013010900","live",15.6
"44718291020004","23709168010900","48204842010497","6-2-35-53400","live","OTHER",26.9,"23709013010900","live",25.9
"44718292020004","23709097010900","48204842010497","6-2-35-53400","live","PSME",29.1,"23709013010900","live",26.8
"44718293020004","23709099010900","48204842010497","6-2-35-53400","live","ABCO",13.2,"23709013010900","live",12.5
"44718297020004","23709101010900","48204842010497","6-2-35-53400","live","ABCO",26.9,"23709013010900","live",25.7
"44718298020004","23709103010900","48204842010497","6-2-35-53400","live","ABCO",40.8,"23709013010900","live",39.7
"44718300020004","23709108010900","48204842010497","6-2-35-53400","live","ABCO",38,"23709013010900","live",36.8
"44718301020004","23709110010900","48204842010497","6-2-35-53400","live","OTHER",35.5,"23709013010900","live",35.4
"44718302020004","23709113010900","48204842010497","6-2-35-53400","live","OTHER",37.8,"23709013010900","live",36.7
"44718304020004","23709117010900","48204842010497","6-2-35-53400","live","OTHER",9.8,"23709013010900","live",9.4
"44718306020004","23709121010900","48204842010497","6-2-35-53400","live","ABCO",8.9,"23709013010900","live",7.4
"44718309020004","23709123010900","48204842010497","6-2-35-53400","live","ABCO",4.3,"23709013010900","live",4.1
"44718310020004","23709126010900","48204842010497","6-2-35-53400","live","ABCO",9.4,"23709013010900","live",8.8
"44718313020004","23709132010900","48204842010497","6-2-35-53400","live","ABCO",7,"23709013010900","live",6.2
"44718315020004","23709136010900","48204842010497","6-2-35-53400","live","ABCO",15.3,"23709013010900","live",14.5
"44718311020004","23709128010900","48204842010497","6-2-35-53400","live","ABCO",11.7,"23709013010900","live",10.5
"44718312020004","23709130010900","48204842010497","6-2-35-53400","live","ABCO",7.2,"23709013010900","live",7
"44718314020004","23709134010900","48204842010497","6-2-35-53400","live","ABCO",10.3,"23709013010900","live",9.3
"44718316020004","23709138010900","48204842010497","6-2-35-53400","live","ABCO",9.9,"23709013010900","live",9.3
"44718317020004","23709140010900","48204842010497","6-2-35-53400","live","ABCO",10.1,"23709013010900","live",9.4
"44718318020004","23709142010900","48204842010497","6-2-35-53400","live","PSME",31.8,"23709013010900","live",30.2
"44718319020004","23709144010900","48204842010497","6-2-35-53400","live","ABCO",9.9,"23709013010900","live",9.4
