# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 20:01:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-48405e57361c.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_nh-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.7633
# Diagonal elements of inverse mass matrix:
# 0.05119, 0.214856
-147.653,0.656816,0.7633,2,3,0,148.321,-2.27072,0.0295546
-144.871,0.941911,0.7633,2,3,0,147.848,-2.77553,0.0371362
-145.479,0.863632,0.7633,2,3,0,146.287,-2.66177,0.0314901
-145.07,0.910417,0.7633,2,3,0,146.56,-2.94308,0.0733967
-144.915,1,0.7633,2,3,0,145.268,-2.77606,0.0364381
-145.155,0.987356,0.7633,2,3,0,145.278,-2.68226,0.0345909
-144.72,0.995307,0.7633,3,7,0,145.351,-2.72519,0.0663992
-144.697,0.999733,0.7633,3,7,0,144.815,-2.67592,0.0586596
-144.556,0.953961,0.7633,1,3,0,145.119,-2.85553,0.0474708
-144.72,0.96636,0.7633,2,3,0,144.84,-2.93067,0.0582187
-145.508,0.914233,0.7633,2,3,0,145.695,-2.60806,0.03263
-144.934,1,0.7633,2,3,0,145.661,-2.60128,0.0566154
-144.703,0.993526,0.7633,2,3,0,145.095,-2.93742,0.0540263
-144.71,0.986285,0.7633,2,3,0,144.93,-2.84112,0.0677971
-144.675,1,0.7633,2,3,0,144.727,-2.82788,0.0667084
-144.555,0.964838,0.7633,1,3,0,145.006,-2.7377,0.047643
-144.642,0.957762,0.7633,1,3,0,144.989,-2.91458,0.0496479
-144.538,1,0.7633,2,3,0,144.643,-2.73245,0.0530285
-144.997,0.827197,0.7633,3,7,0,146.321,-2.95745,0.0391145
-145.301,0.982463,0.7633,2,3,0,145.347,-2.56599,0.0667891
-144.8,0.943544,0.7633,2,3,0,145.866,-2.69591,0.0403461
-145.054,0.949408,0.7633,1,1,0,145.067,-2.69104,0.0357525
-144.526,0.996842,0.7633,2,3,0,145.092,-2.8156,0.0473837
-145.567,0.814628,0.7633,2,3,0,146.425,-2.51482,0.0649589
-145.681,0.994727,0.7633,3,7,0,145.84,-2.49422,0.0638347
-146.194,0.944334,0.7633,2,3,0,147.041,-3.18357,0.0616709
-146.307,0.972505,0.7633,2,3,0,147.281,-3.17735,0.0344175
-149.484,0.664953,0.7633,2,3,0,149.914,-3.11442,0.0169755
-146.938,0.99007,0.7633,3,7,0,151.224,-3.07235,0.110372
-146.504,1,0.7633,2,3,0,147.176,-3.09542,0.0932607
-146.504,0.690485,0.7633,1,1,0,148.249,-3.09542,0.0932607
-146.702,0.97844,0.7633,3,7,0,148.086,-2.44368,0.082495
-145.566,0.988048,0.7633,2,3,0,147.533,-3.12099,0.0511368
-146.195,0.958561,0.7633,2,3,0,146.552,-3.14763,0.033354
-146.814,0.943945,0.7633,3,7,0,147.236,-3.28028,0.0465378
-145.522,1,0.7633,2,3,0,147.223,-2.96594,0.0319656
-146.039,0.867275,0.7633,2,3,0,146.727,-2.849,0.11169
-144.563,0.897591,0.7633,1,3,0,147.504,-2.77366,0.0452729
-145.603,0.857911,0.7633,2,3,0,145.93,-2.93256,0.0304461
-147.028,0.835553,0.7633,2,3,0,147.989,-2.35406,0.0670308
-144.767,1,0.7633,2,3,0,146.726,-2.77295,0.0390746
-144.506,0.9776,0.7633,1,3,0,144.952,-2.81906,0.0551235
-144.536,0.987046,0.7633,1,3,0,144.607,-2.7963,0.0464625
-145.486,0.850901,0.7633,2,3,0,145.821,-2.94555,0.0317837
-144.631,1,0.7633,2,3,0,145.491,-2.91134,0.0503474
-147.81,0.612843,0.7633,3,7,0,148.71,-2.37106,0.0235906
-144.892,1,0.7633,2,3,0,147.44,-2.62933,0.0614553
-144.816,0.864037,0.7633,2,3,0,146.328,-2.72136,0.0390334
-144.827,0.998801,0.7633,2,7,0,145.033,-2.65396,0.0627392
-145.002,0.790111,0.7633,1,3,0,146.774,-3.0061,0.0443285
-145.458,0.945563,0.7633,2,3,0,145.758,-2.6062,0.079748
-145.285,1,0.7633,3,7,0,145.456,-3.00989,0.0369447
-146.705,0.711121,0.7633,2,3,0,147.778,-2.68816,0.12783
-145.608,0.936507,0.7633,3,7,0,147.869,-2.97881,0.0868303
-145.222,0.965284,0.7633,2,3,0,146.307,-3.05998,0.0461056
-145.255,0.941557,0.7633,3,7,0,146.208,-2.89364,0.0330621
-145.062,1,0.7633,1,1,0,145.285,-2.87578,0.0350652
-144.512,1,0.7633,2,3,0,145.03,-2.75573,0.0512995
-144.568,0.910575,0.7633,2,3,0,145.294,-2.75986,0.0454161
-144.889,0.879678,0.7633,2,7,0,145.523,-2.81665,0.0758179
-144.791,0.987806,0.7633,2,7,0,145.102,-2.64302,0.0452824
-144.507,0.983072,0.7633,1,3,0,145.013,-2.81393,0.0491586
-145.04,0.887232,0.7633,1,3,0,145.542,-2.57986,0.0442084
-145.324,0.957478,0.7633,1,1,0,145.357,-2.51541,0.0473286
-146.081,0.902638,0.7633,2,3,0,146.509,-2.56055,0.0288568
-144.654,0.969916,0.7633,3,7,0,146.373,-2.85537,0.0426953
-144.893,0.984884,0.7633,2,3,0,144.893,-2.88119,0.0378107
-144.94,0.523121,0.7633,3,7,0,148.98,-2.742,0.0363905
-144.771,0.951436,0.7633,2,3,0,145.652,-2.9593,0.0492235
-144.649,0.993839,0.7633,2,3,0,144.896,-2.71054,0.0444285
-146.174,0.794232,0.7633,2,3,0,146.819,-2.43477,0.0342021
-145.866,0.924341,0.7633,2,3,0,147.329,-2.56746,0.0304295
-144.51,1,0.7633,2,3,0,145.657,-2.80457,0.0562866
-144.67,0.983121,0.7633,2,3,0,144.698,-2.68873,0.0591215
-144.59,0.962687,0.7633,2,3,0,145.069,-2.87211,0.0584321
-144.884,0.958284,0.7633,2,3,0,145.035,-2.95106,0.0643819
-144.703,1,0.7633,3,7,0,144.948,-2.73756,0.0412453
-144.569,0.982408,0.7633,2,3,0,144.959,-2.74141,0.0587889
-145.019,0.88831,0.7633,1,3,0,145.515,-2.74689,0.0351889
-145.849,0.924535,0.7633,3,7,0,145.95,-2.93238,0.0285444
-146.451,0.875438,0.7633,3,7,0,147.435,-2.82509,0.125114
-146.808,0.948735,0.7633,3,7,0,147.035,-2.91676,0.13052
-147.481,0.953586,0.7633,3,7,0,147.887,-3.00012,0.140112
-146.393,1,0.7633,2,3,0,147.694,-2.78465,0.123532
-146.106,1,0.7633,1,1,0,146.496,-2.764,0.114276
-145.293,0.964482,0.7633,2,3,0,146.644,-2.74098,0.0321018
-145.184,0.999761,0.7633,2,7,0,145.587,-2.7187,0.0835427
-146.553,0.809997,0.7633,2,3,0,147.422,-2.41327,0.0704758
-147.043,0.967736,0.7633,3,7,0,147.612,-2.35172,0.0667646
-145.411,1,0.7633,2,3,0,146.706,-2.50408,0.0529462
-144.782,1,0.7633,2,3,0,145.494,-2.69122,0.0410545
-145.564,0.925227,0.7633,2,3,0,145.791,-3.12158,0.0491844
-144.686,0.911232,0.7633,1,3,0,146.684,-2.77192,0.0409789
-145.309,0.864062,0.7633,2,3,0,146.018,-2.53156,0.0578324
-144.528,1,0.7633,2,3,0,145.259,-2.81241,0.0580444
-145.1,0.866745,0.7633,1,3,0,145.612,-2.87049,0.0344858
-144.673,0.93412,0.7633,2,3,0,146.027,-2.69545,0.0605254
-144.639,0.978674,0.7633,3,7,0,144.914,-2.89818,0.0463805
-144.91,0.971372,0.7633,2,3,0,145.026,-2.99822,0.0513158
-146.493,0.818755,0.7633,2,3,0,147.063,-3.19661,0.0685481
-147.278,0.922109,0.7633,2,3,0,149.286,-2.39578,0.0849358
-147.278,0.461849,0.7633,1,1,0,149.593,-2.39578,0.0849358
-146.533,1,0.7633,3,7,0,148.175,-2.92131,0.121602
-146.471,0.979134,0.7633,2,7,0,147.195,-2.71347,0.122822
-145.358,0.956702,0.7633,3,7,0,146.925,-2.96545,0.0806093
-145.132,1,0.7633,3,7,0,145.582,-2.61281,0.0377995
-144.699,1,0.7633,2,3,0,145.139,-2.85196,0.0667401
-145.133,0.874356,0.7633,3,7,0,145.96,-2.66667,0.0353352
-144.528,0.996803,0.7633,3,7,0,145.108,-2.74607,0.0495817
